schema_version,question_id,question_text,split,label_origin,category,routing_mode,expected_item_numbers,expected_evidence_ids,expected_pdf_pages_1based,expected_no_evidence,notes
vte-synthetic-development-1.0.0,vte-dev-001,Was soll vor der Indikationsstellung zu VTE-Prophylaxemaßnahmen evaluiert werden?,development,synthetic_draft_source_derived,clear_recommendation,guideline_first,"[""5.1""]","[""ru-447717519e2a2bcc28e38f77""]",[31],False,VTE- und Blutungsrisiken vor Indikationsstellung.
vte-synthetic-development-1.0.0,vte-dev-002,Welche zusätzliche Maßnahme ist bei mittlerem oder hohem VTE-Risiko neben Basismaßnahmen vorgesehen?,development,synthetic_draft_source_derived,semantic_paraphrase,guideline_first,"[""6.3""]","[""ru-e7fe65d004db9c011c65cf2f""]",[39],False,Medikamentöse Prophylaxe zusätzlich zu Basismaßnahmen.
vte-synthetic-development-1.0.0,vte-dev-003,"Was empfiehlt die Leitlinie bei mittlerem oder hohem VTE-Risiko, wenn eine medikamentöse Prophylaxe kontraindiziert ist?",development,synthetic_draft_source_derived,contraindication_physical_measure,guideline_first,"[""7.3""]","[""ru-293738e59727a75a37127a11""]",[42],False,Physikalische Maßnahmen bei Kontraindikation.
vte-synthetic-development-1.0.0,vte-dev-004,Welche Antikoagulanzien werden vorzugsweise genannt und welche parenteralen Optionen werden gegenüber UFH bevorzugt?,development,synthetic_draft_source_derived,multi_evidence_drug_choice,guideline_first,"[""8.1"", ""8.2""]","[""ru-dc8ada4dca8f67ce2a0f1406"", ""ru-ace877fce4d8b0f436b1d2ed""]","[44, 46]",False,Zwei getrennte formale Items sind zur vollständigen Beantwortung nötig.
vte-synthetic-development-1.0.0,vte-dev-005,Zu welchem retrievalfähigen Leitlinienitem führt die importierte Eliquis-Fachinformation über Apixaban?,development,synthetic_draft_source_derived,product_substance_bridge,smpc_first,"[""8.1""]","[""ru-dc8ada4dca8f67ce2a0f1406""]",[44],False,Gerichtete SmPC→Produkt→Wirkstoff→Leitlinien-Brücke.
vte-synthetic-development-1.0.0,vte-dev-006,Zu welchem retrievalfähigen Leitlinienitem führt die Xarelto-Fachinformation über Rivaroxaban?,development,synthetic_draft_source_derived,product_substance_bridge,smpc_first,"[""8.1""]","[""ru-dc8ada4dca8f67ce2a0f1406""]",[44],False,Gerichtete SmPC→Produkt→Wirkstoff→Leitlinien-Brücke.
vte-synthetic-development-1.0.0,vte-dev-007,Soll bei parenteraler VTE-Prophylaxe NMH beziehungsweise Fondaparinux gegenüber UFH bevorzugt werden?,development,synthetic_draft_source_derived,abbreviation,guideline_first,"[""8.2""]","[""ru-ace877fce4d8b0f436b1d2ed""]",[46],False,Abkürzungen NMH und UFH.
vte-synthetic-development-1.0.0,vte-dev-008,Welche Organfunktionen sollen bei Auswahl und Anwendung der Medikamente zur VTE-Prophylaxe berücksichtigt werden?,development,synthetic_draft_source_derived,semantic_paraphrase,guideline_first,"[""9.2""]","[""ru-bd43b1b9574eec1acd417dee""]",[53],False,Nieren- und Leberfunktion.
vte-synthetic-development-1.0.0,vte-dev-009,Was sollte vor einer Heparinanwendung mit Blick auf die Thrombozytenzahl geschehen?,development,synthetic_draft_source_derived,monitoring,guideline_first,"[""9.4""]","[""ru-7c27ec0228a992d8e19017ea""]",[56],False,Thrombozytenzahl vor Heparin.
vte-synthetic-development-1.0.0,vte-dev-010,Innerhalb welchen Zeitraums sollte die medikamentöse VTE-Prophylaxe nach einem elektiven chirurgischen Eingriff begonnen werden?,development,synthetic_draft_source_derived,interval,guideline_first,"[""10.2""]","[""ru-74582e12491974c96af26260""]",[61],False,24-Stunden-Intervall.
