run_id,question_id,coverage_stratum,model_config_id,repetition,expected_evidence_count,retrieved_evidence_count,first_relevant_rank,recall_at_5,mrr,retrieval_outcome,retrieval_latency_ms
rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:RAG,study-q-001,covered_by_local_corpus,gpt55_medium,1_primary,1,14,,0.0,0.0,evidence_found,317.63540499377996
rag-vs-web-1.1.0:1_primary:study-q-001:gpt56_sol_high:RAG,study-q-001,covered_by_local_corpus,gpt56_sol_high,1_primary,1,14,,0.0,0.0,evidence_found,312.6496729673818
rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,study-q-002,covered_by_local_corpus,gpt55_medium,1_primary,1,6,5,1.0,0.2,evidence_found,283.2420860650018
rag-vs-web-1.1.0:1_primary:study-q-002:gpt56_sol_high:RAG,study-q-002,covered_by_local_corpus,gpt56_sol_high,1_primary,1,6,5,1.0,0.2,evidence_found,280.7839571032673
rag-vs-web-1.1.0:1_primary:study-q-003:gpt55_medium:RAG,study-q-003,covered_by_local_corpus,gpt55_medium,1_primary,1,14,,0.0,0.0,evidence_found,305.84732291754335
rag-vs-web-1.1.0:1_primary:study-q-003:gpt56_sol_high:RAG,study-q-003,covered_by_local_corpus,gpt56_sol_high,1_primary,1,14,,0.0,0.0,evidence_found,304.8292070161551
rag-vs-web-1.1.0:1_primary:study-q-004:gpt55_medium:RAG,study-q-004,covered_by_local_corpus,gpt55_medium,1_primary,1,9,8,0.0,0.125,evidence_found,274.24143301323056
rag-vs-web-1.1.0:1_primary:study-q-004:gpt56_sol_high:RAG,study-q-004,covered_by_local_corpus,gpt56_sol_high,1_primary,1,9,8,0.0,0.125,evidence_found,276.371292071417
rag-vs-web-1.1.0:1_primary:study-q-005:gpt55_medium:RAG,study-q-005,covered_by_local_corpus,gpt55_medium,1_primary,1,14,1,1.0,1.0,evidence_found,301.25590099487454
rag-vs-web-1.1.0:1_primary:study-q-005:gpt56_sol_high:RAG,study-q-005,covered_by_local_corpus,gpt56_sol_high,1_primary,1,14,1,1.0,1.0,evidence_found,303.4508959390223
rag-vs-web-1.1.0:1_primary:study-q-006:gpt55_medium:RAG,study-q-006,covered_by_local_corpus,gpt55_medium,1_primary,1,14,,0.0,0.0,evidence_found,311.42329308204353
rag-vs-web-1.1.0:1_primary:study-q-006:gpt56_sol_high:RAG,study-q-006,covered_by_local_corpus,gpt56_sol_high,1_primary,1,14,,0.0,0.0,evidence_found,359.40886195749044
rag-vs-web-1.1.0:1_primary:study-q-007:gpt55_medium:RAG,study-q-007,covered_by_local_corpus,gpt55_medium,1_primary,1,5,2,1.0,0.5,evidence_found,275.8225479628891
rag-vs-web-1.1.0:1_primary:study-q-007:gpt56_sol_high:RAG,study-q-007,covered_by_local_corpus,gpt56_sol_high,1_primary,1,5,2,1.0,0.5,evidence_found,269.7108160937205
rag-vs-web-1.1.0:1_primary:study-q-008:gpt55_medium:RAG,study-q-008,covered_by_local_corpus,gpt55_medium,1_primary,1,14,,0.0,0.0,evidence_found,300.15656305477023
