path,decision,category,reason,bytes,sha256
.env.example,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,700,91dd74da8c8e380c966f8415adb086e93254e06521e4b5fb952196b6c7471bb0
.env.retrieval,exclude,secret_environment,Real environment or database secret; never distributed.,161,
.gitattributes,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,838,162d850d48856d62b6e036d853395aef41f760a4840a297ebdf6df3ee41ef2de
.gitignore,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,1175,219326b8eef6909bc7f3a733a6c1c968a522c344eca612d2f8b377de322e7892
.python-version,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,5,02e735b3dfe1c32833eb550b7ff8ffa17f5f2bc3fa1e7bae61a8f5a3883ce398
AGENTS.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,7974,3e99f2af529aba1cae498c3cc51475da2d731599116df9519dc88cdedf7c81ed
CODEX_EXTRACTION_PROMPT.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DATA_AVAILABILITY.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,2507,7f9afb88568c0d19db28b4338cad724369cb4303d3152c184d71418d656606c2
PROVENANCE.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,2987,d7663c68e1dc06dd91a612bc9e0cc338f37f48f15e4c2dd53443df21b67af5cc
README.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,15063,24e40106190c6161651e58313315e88ae9c42ed5835dda9effd0a84d5c3c19a9
REPOSITORY_CONTENTS.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,2448,756ad840bcf1e1a36eed38ad2575fa15c2d341a8f880905d4190ff54566fd451
REPRODUCIBILITY.md,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,4707,d657649067d206f70682b6869ec36f2a78b53fc3e69d49b317165be73810e94a
docker-compose.yml,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,1020,53d667379e37795f9285b92514ecbb73831d7826ca554d7d0bcdaefc8a07c72b
pyproject.toml,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,1087,b2f9e8fd34976e171bf0ac767826813301da443c19b4d3aaa0e4423aa204b2dd
uv.lock,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,212825,410ddb17f5d005612f31118d45a67c36829deccd5ef21bbe9213b5ea34c0ad75
archive/ARCHIVE_SHA256SUMS,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,,
archive/archive_build_report.json,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,478,931b97eba0c5ef886ffa9cf9d5d698d3fd73961a43ba02ee0ad50d59bbc652a5
archive/repository_allowlist.txt,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,13050,96154f717bfb7f63d79d0a8647684b143a775a3595b0f6a2d8f5738d923fba40
archive/repository_file_decisions.csv,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,,
archive/repository_file_decisions.json,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,,
archive/corpus/corpus_snapshot_manifest.json,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,17136,ec9b09cdc53bf73c63e28c150e0f081eef920c32c34edde65912b207a9da7938
archive/corpus/source_manifest.csv,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,7359,98d55bf37277a564be9c3090d63c7b895bd61fb2ce8b493f8dcf9c74cac6da9c
archive/corpus/source_manifest.json,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,12530,82bcf109609bf53bd17e31ecc213854bd552816ca95a85650c8e941b257de3cc
archive/phase1/vte_response_runs_redacted.jsonl,include,reviewed_reproducibility_artifact,Explicitly selected by the archive allowlist and subject to repository validation.,461720,093411db091724b02753483cc7f5c21155fa0d7b2fc826b80f2c9d58e3b5b10b
