protocol_version,run_id,question_id,question_hash,coverage_stratum,model_config_id,requested_model,reasoning_effort,system_arm,repetition,randomization_block,planned_order,status
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-006:gpt56_sol_high:WEB,study-q-006,b3b4bc0d32dccd5aee85dfbd63ffd83f39439172184151ed78ed0ac451f4d749,covered_by_local_corpus,gpt56_sol_high,gpt-5.6-sol,high,WEB,1_primary,1,1,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-006:gpt56_sol_high:RAG,study-q-006,b3b4bc0d32dccd5aee85dfbd63ffd83f39439172184151ed78ed0ac451f4d749,covered_by_local_corpus,gpt56_sol_high,gpt-5.6-sol,high,RAG,1_primary,1,2,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-006:gpt55_medium:RAG,study-q-006,b3b4bc0d32dccd5aee85dfbd63ffd83f39439172184151ed78ed0ac451f4d749,covered_by_local_corpus,gpt55_medium,gpt-5.5-2026-04-23,medium,RAG,1_primary,1,3,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-006:gpt55_medium:WEB,study-q-006,b3b4bc0d32dccd5aee85dfbd63ffd83f39439172184151ed78ed0ac451f4d749,covered_by_local_corpus,gpt55_medium,gpt-5.5-2026-04-23,medium,WEB,1_primary,1,4,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-015:gpt56_sol_high:WEB,study-q-015,dbddfb8c6b7a639267c285cf4286a165de5fa658451c21b7168174ea4d743249,covered_by_local_corpus,gpt56_sol_high,gpt-5.6-sol,high,WEB,1_primary,2,5,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-015:gpt56_sol_high:RAG,study-q-015,dbddfb8c6b7a639267c285cf4286a165de5fa658451c21b7168174ea4d743249,covered_by_local_corpus,gpt56_sol_high,gpt-5.6-sol,high,RAG,1_primary,2,6,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-015:gpt55_medium:RAG,study-q-015,dbddfb8c6b7a639267c285cf4286a165de5fa658451c21b7168174ea4d743249,covered_by_local_corpus,gpt55_medium,gpt-5.5-2026-04-23,medium,RAG,1_primary,2,7,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-015:gpt55_medium:WEB,study-q-015,dbddfb8c6b7a639267c285cf4286a165de5fa658451c21b7168174ea4d743249,covered_by_local_corpus,gpt55_medium,gpt-5.5-2026-04-23,medium,WEB,1_primary,2,8,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-097:gpt55_medium:RAG,study-q-097,7a1ec73dfb907ce7e73095936dcae9ffb55f03153419927d5d5e41c0712d4a0b,not_covered_by_local_corpus,gpt55_medium,gpt-5.5-2026-04-23,medium,RAG,1_primary,3,9,planned
rag-vs-web-1.1.0,rag-vs-web-1.1.0:1_primary:study-q-097:gpt55_medium:WEB,study-q-097,7a1ec73dfb907ce7e73095936dcae9ffb55f03153419927d5d5e41c0712d4a0b,not_covered_by_local_corpus,gpt55_medium,gpt-5.5-2026-04-23,medium,WEB,1_primary,3,10,planned
