question_id,retrieval_mode,expected_item_numbers,expected_evidence_ids,found_item_numbers,found_evidence_ids,retrieval_outcome,retrieval_latency_ms,relation_expansion_latency_ms,hit_at_1,recall_at_3,recall_at_5,reciprocal_rank,ndcg_at_5,correct_no_evidence,false_positive_no_evidence
vte-dev-001,fts,"[""5.1""]","[""ru-447717519e2a2bcc28e38f77""]","[""8.25"", ""5.1""]","[""ru-1160dd8e47783a6c3e831539"", ""ru-447717519e2a2bcc28e38f77""]",evidence_found,85.78766300342977,36.894524993840605,0.0,1.0,1.0,0.5,0.6309297535714575,,
vte-dev-002,fts,"[""6.3""]","[""ru-e7fe65d004db9c011c65cf2f""]","[""3.45"", ""3.46"", ""3.48""]","[""ru-3c67cd10769510c3199812df"", ""ru-7b0e4e9e2e1f56f8f704dc5d"", ""ru-7d9d25d0ac6242298d108266""]",evidence_found,55.90760393533856,33.253698027692735,0.0,0.0,0.0,0.0,0.0,,
vte-dev-003,fts,"[""7.3""]","[""ru-293738e59727a75a37127a11""]",[],[],evidence_found,59.98632003320381,35.403179994318634,0.0,0.0,0.0,0.0,0.0,,
vte-dev-004,fts,"[""8.1"", ""8.2""]","[""ru-dc8ada4dca8f67ce2a0f1406"", ""ru-ace877fce4d8b0f436b1d2ed""]",[],[],evidence_found,53.487012977711856,34.57488800631836,0.0,0.0,0.0,0.0,0.0,,
vte-dev-005,fts,"[""8.1""]","[""ru-dc8ada4dca8f67ce2a0f1406""]",[],[],evidence_found,93.39953301241621,33.6387999705039,0.0,0.0,0.0,0.0,0.0,,
vte-dev-006,fts,"[""8.1""]","[""ru-dc8ada4dca8f67ce2a0f1406""]",[],[],evidence_found,73.64670297829434,34.63875001762062,0.0,0.0,0.0,0.0,0.0,,
vte-dev-007,fts,"[""8.2""]","[""ru-ace877fce4d8b0f436b1d2ed""]",[],[],evidence_found,59.51156100491062,33.57071796199307,0.0,0.0,0.0,0.0,0.0,,
vte-dev-008,fts,"[""9.2""]","[""ru-bd43b1b9574eec1acd417dee""]","[""8.29""]","[""ru-d538a5bcac4d2522e448c865""]",evidence_found,55.4179530008696,33.32822403172031,0.0,0.0,0.0,0.0,0.0,,
vte-dev-009,fts,"[""9.4""]","[""ru-7c27ec0228a992d8e19017ea""]","[""4.17"", ""4.16"", ""9.4"", ""9.6"", ""4.15""]","[""ru-21bd7c3e774b6571212f6736"", ""ru-5d14e0bbed58f700088c9c76"", ""ru-7c27ec0228a992d8e19017ea"", ""ru-ae15c1f43ec01b3995662485"", ""ru-91360613c58df7e1dd5b309e""]",evidence_found,50.97701004706323,35.47137597342953,0.0,1.0,1.0,0.3333333333333333,0.5,,
vte-dev-010,fts,"[""10.2""]","[""ru-74582e12491974c96af26260""]","[""6.2"", ""4.43""]","[""ru-087db2c34424d42361b3669d"", ""ru-1bb83b2e56b6e87fbca8f6ac""]",evidence_found,57.65784304821864,32.54692995687947,0.0,0.0,0.0,0.0,0.0,,
