guideline,item,domain,requirement,pre_run_status,pre_run_evidence,post_run_status,post_run_evidence,notes
REFINE,1.1,Model specification,Model and provider identification,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.2,Model specification,Model version or dated snapshot,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.3,Model specification,Access mode and interface,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.4,Model specification,Training-data cutoff if disclosed,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.5,Model specification,Model availability and access date,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.6,Model specification,Model configuration and parameters,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.7,Model specification,Adaptation or fine-tuning,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,1.8,Model specification,Model limitations relevant to the study,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,2.1,Prompt design,Full prompts reported,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,2.2,Prompt design,Prompt-development process,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,2.3,Prompt design,System and source-policy instructions,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,2.4,Prompt design,Output schema and constraints,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,2.5,Prompt design,Prompt versioning and hashes,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,2.6,Prompt design,Prompt consistency across comparisons,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,3.1,Stochasticity,Sampling and reasoning settings,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,3.2,Stochasticity,Independent repetitions,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,3.3,Stochasticity,Randomization and order effects,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
REFINE,4.1,Dataset integrity,Dataset origin and eligibility,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; docs/STATISTICAL_ANALYSIS_PLAN_RAG_VS_WEB.md; outputs/study_phase2/manifest/study_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Final manuscript wording and page references remain pending. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
