guideline,item,category,requirement,pre_run_status,pre_run_evidence,post_run_status,post_run_evidence,notes
MI-CLEAR-LLM 2025 update,MC-01,1 Model identification,Name provider and model family,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-02,1 Model identification,Report exact version/snapshot and access date,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-03,1 Model identification,Report knowledge cutoff and availability when disclosed,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-04,2 Access mode,Report API versus interface access,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-05,2 Access mode,Report stateless/conversation mode and storage,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-06,2 Access mode,Report external tools and data access,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-07,3 Input data type,"Describe question language, clinical domain and format",implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-08,3 Input data type,Describe local evidence and Web-source inputs,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-09,3 Input data type,State absence of patient data,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-10,4 Adaptation strategy,"Report fine-tuning, retrieval augmentation and grounding",implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
