answer_status,claim_id,claim_text,claim_type,model_config_id,question_id,repetition,run_id,source_ref,support_status,system_arm,validator_status
supported,C1,Basismaßnahmen sind ein allgemein wirksamer Bestandteil der VTE-Prophylaxe und sollen routinemäßig bei jedem Patienten angewendet werden.,fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:RAG,ru-1cd8192d7030d56f550f9bac,,RAG,accepted
supported,C2,"Zu diesen Basismaßnahmen gehören Frühmobilisation, Bewegungsübungen unter Anleitung oder Begleitung, Eigenübungen wie Fußwippen und eine adäquate Hydrierung.",fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:RAG,ru-1cd8192d7030d56f550f9bac,,RAG,accepted
supported,C3,Eine in der Leitlinie zitierte Metaanalyse fand für aktive/passive Bewegungsübungen oder Gehübungen zusätzlich zur Standardbetreuung eine reduzierte TVT-Rate gegenüber Standardbetreuung allein.,fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:RAG,ru-1cd8192d7030d56f550f9bac,,RAG,accepted
supported,C1,"Die aktuelle AWMF-S3-Leitlinie zur VTE-Prophylaxe nennt als allgemeine Basismaßnahmen Frühmobilisation, Bewegungsübungen und Anleitung zu Eigenübungen und empfiehlt deren regelmäßige Anwendung bei allen Patienten.",fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:WEB,https://register.awmf.org/assets/guidelines/003-001l_S3_Prophylaxe-venoese-Thromboembolie-VTE_2026-04.pdf,,WEB,accepted
supported,C2,Die AWMF-Leitlinie beschreibt Basismaßnahmen als routinemäßigen Bestandteil der VTE-Prophylaxe bei jedem Patienten und nennt als Beispiel Eigenübungen wie Fußwippen; zusätzlich soll auf adäquate Hydrierung geachtet werden.,fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:WEB,https://register.awmf.org/assets/guidelines/003-001l_S3_Prophylaxe-venoese-Thromboembolie-VTE_2026-04.pdf,,WEB,accepted
supported,C3,"NICE empfiehlt im Rahmen der stationären VTE-Prävention frühe Mobilisation und das Vermeiden von Dehydratation, sofern Dehydratation nicht klinisch indiziert ist.",fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:WEB,https://www.nice.org.uk/guidance/ng89/chapter/Recommendations,,WEB,accepted
supported,C4,Spezielle physikalische und/oder medikamentöse Maßnahmen werden zusätzlich zu den Basismaßnahmen individuell und risikoadaptiert eingesetzt; sie sind daher nicht die hier gemeinten universellen Grundmaßnahmen unabhängig vom individuellen Risiko.,fact,gpt55_medium,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:WEB,https://register.awmf.org/assets/guidelines/003-001l_S3_Prophylaxe-venoese-Thromboembolie-VTE_2026-04.pdf,,WEB,accepted
supported,C1,Diese Basismaßnahmen gelten als allgemein wirksamer Bestandteil der VTE-Prophylaxe und sollen routinemäßig bei jedem Patienten angewendet werden.,fact,gpt56_sol_high,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt56_sol_high:RAG,ru-1cd8192d7030d56f550f9bac,,RAG,accepted
supported,C1,"Die aktuelle AWMF-S3-Leitlinie empfiehlt Frühmobilisation, Bewegungsübungen und Anleitung zu Eigenübungen regelmäßig für alle Patienten (Empfehlungsgrad B; moderates Evidenzniveau; starker Konsens).",fact,gpt56_sol_high,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt56_sol_high:WEB,https://register.awmf.org/assets/guidelines/003-001l_S3_Prophylaxe-venoese-Thromboembolie-VTE_2026-04.pdf,,WEB,accepted
supported,C2,Im erläuternden Leitlinientext wird zusätzlich eine adäquate Hydrierung als Basismaßnahme genannt.,fact,gpt56_sol_high,study-q-001,1_primary,rag-vs-web-1.1.0:1_primary:study-q-001:gpt56_sol_high:WEB,https://register.awmf.org/assets/guidelines/003-001l_S3_Prophylaxe-venoese-Thromboembolie-VTE_2026-04.pdf,,WEB,accepted
supported,C1,RAMs können bei der Evaluation des individuellen VTE-Risikos hilfreich sein; das Evidenzniveau wird als niedrig/sehr niedrig angegeben.,fact,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,ru-a167bddee6a18e4a40aa153e,,RAG,accepted
supported,C2,"Die Anwendung validierter RAMs kann die Indikationsstellung zur VTE-Prophylaxe verbessern; ein Cochrane-Review fand mehr sachgerechte Prophylaxe durch RAM-Implementierung und bei EDV-Hinweissystemen weniger symptomatische VTE innerhalb von drei Monaten, jeweils bei niedriger Evidenzsicherheit.",fact,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,ru-5f821920a3d0358dae298c25,,RAG,accepted
supported,C3,Auch bei Anwendung von RAMs erlauben anamnestische und klinische Parameter keine zweifelsfrei korrekte individuelle VTE-Risikoeinordnung.,uncertainty,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,ru-4eab990a1d9e4f602f435ed2,,RAG,accepted
supported,C4,Die Indikation zur VTE-Prophylaxe ergibt sich aus der Einordnung von VTE- und Blutungsrisiko sowie einer individuellen Nutzen-Risiko-Abwägung.,fact,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,ru-db63b322c17e29ba062e999b,,RAG,accepted
supported,C5,Für erweiterte allgemeine oder hämostaseologische Laborwerte fehlen überzeugend verifizierende Evaluationen; ein erweitertes präoperatives Laborscreening einschließlich Thrombophiliediagnostik zur VTE-Risikoeinordnung wird nicht empfohlen.,recommendation,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,ru-cec753c36a520376b51af952,,RAG,accepted
partially_supported,C1,RAMs dienen primär der strukturierten VTE-Risikostratifikation und können Unter- bzw. Überprophylaxe reduzieren helfen; ASH beschreibt quantitative RAMs für internistische Hospitalisierte und nennt Padua und IMPROVE als die am intensivsten untersuchten Modelle.,fact,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:WEB,https://ashpublications.org/bloodadvances/article/2/22/3198/16115/American-Society-of-Hematology-2018-guidelines-for,,WEB,accepted
partially_supported,C2,NICE empfiehlt bei stationären Patient:innen eine VTE- und Blutungsrisikoabschätzung und die Abwägung des individuellen VTE-Risikos gegen das Blutungsrisiko vor pharmakologischer Prophylaxe.,fact,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:WEB,https://www.nice.org.uk/guidance/ng89/chapter/Recommendations,,WEB,accepted
partially_supported,C3,Für nichtorthopädisch-chirurgische Patient:innen verwendet die ACCP/CHEST-Leitlinie Risikokategorien unter Bezug auf Modelle wie Caprini/Rogers zur Ableitung des Ausgangsrisikos und prophylaktischer Strategien.,fact,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:WEB,https://pmc.ncbi.nlm.nih.gov/articles/PMC3278061/,,WEB,accepted
partially_supported,C4,Die Evidenz zur individuellen Vorhersagegenauigkeit ist limitiert: In der VTEAM-Evidenzsynthese hatten alle eingeschlossenen Studien zu VTE-RAMs ein hohes oder unklares Bias-Risiko.,uncertainty,gpt55_medium,study-q-002,1_primary,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:WEB,https://www.ncbi.nlm.nih.gov/books/NBK602839/,,WEB,accepted
